Name|Cluster|Dist|f_Dist|r_Dist|log(Age)|Vmag|(B-V)0|log(Lx)|log(Lx/Lb)|_RA|_DE
Cl Melotte 20 520      |alpha Persei| 185.0| |a,b    | 7.90|11.69| 0.69|30.29|-3.10|050.59141|+49.14100
Cl Melotte 20 622      |alpha Persei| 185.0| |a,b    | 7.90|11.63| 0.69|30.44|-2.98|051.20719|+48.87177
Cl* Melotte 20 AP 255  |alpha Persei| 185.0| |a,b    | 7.90|11.83| 0.68|30.61|-2.77|055.68708|+49.65056
Cl Melotte 20 696      |alpha Persei| 185.0| |a,b    | 7.90|11.61| 0.67|29.81|-3.60|051.58067|+49.22572
Cl Melotte 20 601      |alpha Persei| 185.0| |a,b    | 7.90|11.43| 0.63|29.77|-3.71|051.07108|+49.65008
Cl Melotte 20 350      |alpha Persei| 185.0| |a,b    | 7.90|11.13| 0.62|29.81|-3.79|049.40387|+48.83568
Cl Melotte 20 828      |alpha Persei| 185.0| |a,b    | 7.90|11.62| 0.62|29.20|-4.18|052.24846|+48.23564
Cl Melotte 20 699      |alpha Persei| 185.0| |a,b    | 7.90|11.27| 0.61|30.36|-3.19|051.59258|+49.42709
Cl Melotte 20 350      |alpha Persei| 185.0| |a,b    | 7.90|10.95| 0.59|30.26|-3.41|049.40387|+48.83568
Cl Melotte 20 828      |alpha Persei| 185.0| |a,b    | 7.90|10.93| 0.57|30.21|-3.46|052.24846|+48.23564
Cl Melotte 20 935      |alpha Persei| 185.0| |a,b    | 7.90|10.05| 0.53|30.62|-3.39|052.87084|+48.99120
Cl Melotte 20 848      |alpha Persei| 185.0| |a,b    | 7.90|10.00| 0.51|29.53|-4.50|052.35933|+48.20323
Cl Melotte 20 684      |alpha Persei| 185.0| |a,b    | 7.90|10.59| 0.48|30.12|-3.68|051.51757|+48.80197
Cl Melotte 20 968      |alpha Persei| 185.0| |a,b    | 7.90|10.41| 0.48|30.21|-3.66|052.97590|+48.52734
Cl Melotte 20 727      |alpha Persei| 185.0| |a,b    | 7.90|10.32| 0.47|30.09|-3.81|051.70881|+48.79223
Cl Melotte 20 841      |alpha Persei| 185.0| |a,b    | 7.90|10.29| 0.45|30.02|-3.89|052.35397|+48.96253
Cl Melotte 20 588      |alpha Persei| 185.0| |a,b    | 7.90|10.01| 0.44|29.80|-4.28|050.97956|+50.30667
Cl Melotte 20 876      |alpha Persei| 185.0| |a,b    | 7.90| 9.55| 0.43|30.29|-3.92|052.44540|+47.58281
Cl Melotte 20 733      |alpha Persei| 185.0| |a,b    | 7.90| 9.94| 0.41|29.30|-4.74|051.76355|+48.78703
Cl Melotte 20 715      |alpha Persei| 185.0| |a,b    | 7.90| 9.75| 0.39|29.51|-4.61|051.66980|+48.77690
Cl Melotte 20 421      |alpha Persei| 185.0| |a,b    | 7.90| 9.23| 0.36|30.02|-4.30|049.92398|+48.91364
Cl Melotte 20 799      |alpha Persei| 185.0| |a,b    | 7.90| 9.66| 0.36|29.00|-5.13|052.13126|+48.94091
Cl Melotte 20 944      |alpha Persei| 185.0| |a,b    | 7.90| 9.62| 0.34|29.59|-4.57|052.93568|+49.53681
Cl Melotte 20 609      |alpha Persei| 185.0| |a,b    | 7.90| 9.23| 0.32|30.07|-4.34|051.10430|+50.32630
Cl* Blanco 1 ZS71      |Blanco 1    | 244.0| |a,b    | 8.00|14.90| 1.34|22.71|-3.16|000.76229|-29.79558
Cl* Blanco 1 ZS94      |Blanco 1    | 244.0| |a,b    | 8.00|14.98| 1.30|21.93|-3.69|000.85075|-29.93969
Cl* Blanco 1 ZS93      |Blanco 1    | 244.0| |a,b    | 8.00|14.18| 1.12|22.36|-3.45|000.85279|-29.92072
Cl* Blanco 1 ZS42      |Blanco 1    | 244.0| |a,b    | 8.00|14.17| 1.06|22.48|-3.30|000.51754|-30.17622
Cl* Blanco 1 ZS38      |Blanco 1    | 244.0| |a,b    | 8.00|13.86| 1.03|22.82|-3.07|000.47683|-30.12828
Cl* Blanco 1 ZS70      |Blanco 1    | 244.0| |a,b    | 8.00|13.75| 1.00|22.20|-3.71|000.70092|-29.77635
Cl* Blanco 1 ZS54      |Blanco 1    | 244.0| |a,b    | 8.00|12.98| 0.99|22.69|-3.52|000.61746|-30.07875
Cl* Blanco 1 ZS154     |Blanco 1    | 244.0| |a,b    | 8.00|13.42| 0.96|22.56|-3.46|001.38158|-30.34767
Cl* Blanco 1 ZS44      |Blanco 1    | 244.0| |a,b    | 8.00|13.45| 0.93|22.64|-3.36|000.56121|-29.81783
Cl* Blanco 1 ZS75      |Blanco 1    | 244.0| |a,b    | 8.00|12.82| 0.91|22.63|-3.61|000.75117|-30.05600
Cl* Blanco 1 ZS61      |Blanco 1    | 244.0| |a,b    | 8.00|13.70| 0.90|22.91|-2.98|000.64512|-30.09042
Cl* Blanco 1 ZS76      |Blanco 1    | 244.0| |a,b    | 8.00|12.39| 0.86|23.43|-2.96|000.73492|-30.07911
Cl* Blanco 1 ZS83      |Blanco 1    | 244.0| |a,b    | 8.00|12.51| 0.85|22.36|-3.97|000.77954|-30.25475
Cl* Blanco 1 ZS165     |Blanco 1    | 244.0| |a,b    | 8.00|12.50| 0.85|22.41|-3.93|001.39804|-29.95178
Cl* Blanco 1 ZS148     |Blanco 1    | 244.0| |a,b    | 8.00|12.35| 0.84|22.48|-3.91|001.30996|-29.90661
Cl* Blanco 1 ZS45      |Blanco 1    | 244.0| |a,b    | 8.00|12.91| 0.84|22.35|-3.82|000.57729|-29.85236
BLX 7                  |Blanco 1    | 244.0| |a,b    | 8.00|12.71| 0.83|22.52|-3.73|000.50333|-29.98817
Cl* Blanco 1 ZS62      |Blanco 1    | 244.0| |a,b    | 8.00|12.48| 0.75|22.40|-3.92|000.64775|-30.11719
Cl* Blanco 1 ZS58      |Blanco 1    | 244.0| |a,b    | 8.00|12.32| 0.73|22.78|-3.59|000.44358|-29.77742
Cl* Blanco 1 ZS170     |Blanco 1    | 244.0| |a,b    | 8.00|12.07| 0.69|22.17|-4.29|001.47800|-30.10717
Cl* Blanco 1 ZS182     |Blanco 1    | 244.0| |a,b    | 8.00|11.66| 0.61|22.27|-4.34|001.56809|-30.09918
Cl* Blanco 1 ZS138     |Blanco 1    | 244.0| |a,b    | 8.00|11.47| 0.56|22.34|-4.34|001.24517|-30.16157
Cl* Blanco 1 ZS84      |Blanco 1    | 244.0| |a,b    | 8.00|11.28| 0.53|22.60|-4.15|000.79505|-30.18025
Cl* Blanco 1 ZS91      |Blanco 1    | 244.0| |a,b    | 8.00|11.25| 0.52|22.44|-4.33|000.83593|-29.82298
Cl* Blanco 1 ZS107     |Blanco 1    | 244.0| |a,b    | 8.00|11.02| 0.49|21.95|-4.88|000.95904|-30.06546
Cl* Blanco 1 ZS90      |Blanco 1    | 244.0| |a,b    | 8.00|10.62| 0.45|22.65|-4.36|000.85161|-29.81371
Cl* Blanco 1 ZS48      |Blanco 1    | 244.0| |a,b    | 8.00|10.69| 0.44|22.87|-4.11|000.59016|-30.13936
Cl* Blanco 1 ZS96      |Blanco 1    | 244.0| |a,b    | 8.00|10.32| 0.39|22.50|-4.62|000.84113|-30.01962
Cl* Blanco 1 ZS104     |Blanco 1    | 244.0| |a,b    | 8.00|10.05| 0.36|22.75|-4.47|000.88288|-29.71801
Cl* Melotte 25 PELS 95 |Hyades      |  45.0|1|e      | 8.80|11.12| 1.40|21.89|-3.94|072.00458|+17.05611
BD+25 522              |Hyades      |  45.0|1|e      | 8.80|11.11| 1.40|22.32|-3.52|049.34525|+26.31503
Cl* Melotte 25 VA404   |Hyades      |  39.2| |e      | 8.80|10.48| 1.37|21.58|-4.35|066.67843|+12.68658
Cl Melotte 25 190      |Hyades      |  49.8| |e      | 8.80|10.70| 1.30|22.41|-3.58|067.21171|+16.28900
Cl* Melotte 25 VA354   |Hyades      |  45.0|1|e      | 8.80|11.17| 1.26|21.72|-3.96|066.35417|+17.91667
Cl* Melotte 25 VA68    |Hyades      |  42.5| |e      | 8.80|10.74| 1.23|21.76|-4.02|063.71638|+13.05495
Cl* Melotte 25 VA677   |Hyades      |  43.6| |e      | 8.80|11.03| 1.22|22.50|-3.18|068.10689|+13.11323
Cl* Melotte 25 VA135   |Hyades      |  44.5| |e      | 8.80|10.00| 1.16|22.39|-3.68|064.59164|+17.42164
Cl* Melotte 25 PELS 83 |Hyades      |  45.0|1|e      | 8.80|10.17| 1.14|21.54|-4.46|069.60399|+17.54243
Cl Melotte 25 185      |Hyades      |  51.6| |e      | 8.80| 9.47| 1.08|21.58|-4.79|070.10611|+16.51366
BD+12 623              |Hyades      |  47.0| |e      | 8.80|10.06| 1.06|21.52|-4.52|069.96239|+12.72847
BD+18 639              |Hyades      |  45.0|1|e      | 8.80|10.14| 1.04|21.53|-4.43|066.99568|+18.50025
BD+10 576              |Hyades      |  49.0| |e      | 8.80| 9.45| 1.03|21.48|-4.83|066.70108|+10.87107
Cl Melotte 25 117      |Hyades      |  48.2| |e      | 8.80| 9.53| 1.03|22.49|-3.77|072.30411|+24.80284
BD+16 646              |Hyades      |  45.0|1|e      | 8.80| 9.86| 0.99|21.96|-4.09|070.81543|+17.06911
Cl* Melotte 25 VA627   |Hyades      |  44.7| |e      | 8.80| 9.53| 0.98|21.97|-4.20|067.90460|+17.70978
BD+17 782              |Hyades      |  49.1| |e      | 8.80| 9.60| 0.96|21.92|-4.30|071.70606|+17.74833
Cl Melotte 25 176      |Hyades      |  61.9| |e      | 8.80| 9.01| 0.92|22.07|-4.56|066.44816|+18.01727
Cl Melotte 25 43       |Hyades      |  52.6| |e      | 8.80| 9.40| 0.90|21.49|-4.84|065.84521|+19.65867
Cl Melotte 25 7        |Hyades      |  43.4| |e      | 8.80| 8.99| 0.89|21.34|-4.98|058.77709|+16.99848
Cl Melotte 25 46       |Hyades      |  45.1| |e      | 8.80| 9.12| 0.86|21.65|-4.64|065.88471|+14.67048
Cl Melotte 25 116      |Hyades      |  46.5| |e      | 8.80| 8.99| 0.83|21.60|-4.76|072.26467|+18.64124
Cl Melotte 25 182      |Hyades      |  53.3| |e      | 8.80| 9.01| 0.83|21.86|-4.61|067.64532|+15.73398
Cl Melotte 25 153      |Hyades      |  45.0|1|e      | 8.80| 8.92| 0.83|21.76|-4.60|044.44447|+29.66146
Cl Melotte 25 96       |Hyades      |  50.1| |e      | 8.80| 8.50| 0.83|22.03|-4.59|068.49391|+15.16362
Cl Melotte 25 109      |Hyades      |  71.1| |e      | 8.80| 9.41| 0.79|21.96|-4.58|070.02434|+23.30454
Cl Melotte 25 76       |Hyades      |  56.4| |e      | 8.80| 9.19| 0.75|21.60|-4.82|067.37819|+26.67155
Cl Melotte 25 69       |Hyades      |  51.5| |e      | 8.80| 8.64| 0.74|21.88|-4.68|067.15506|+19.74068
Cl Melotte 25 127      |Hyades      |  61.9| |e      | 8.80| 8.89| 0.73|21.79|-4.82|074.45627|+14.00219
Cl Melotte 25 120      |Hyades      |  52.7| |e      | 8.80| 7.73| 0.73|22.08|-4.86|072.64091|+15.08345
BD+17 841              |Hyades      |  63.3| |e      | 8.80| 8.82| 0.72|22.02|-4.64|076.57495|+17.81641
Cl Melotte 25 27       |Hyades      |  50.0| |e      | 8.80| 8.46| 0.72|22.04|-4.56|064.78337|+17.52475
Cl Melotte 25 132      |Hyades      |  72.0| |e      | 8.80| 8.59| 0.68|22.02|-4.84|077.43947|+28.03362
Cl Melotte 25 39       |Hyades      |  38.2| |e      | 8.80| 7.87| 0.67|22.00|-4.58|065.68652|+16.79102
Cl Melotte 25 58       |Hyades      |  46.1| |e      | 8.80| 7.53| 0.67|22.32|-4.57|066.46553|+18.86406
Cl Melotte 25 142      |Hyades      |  50.3| |e      | 8.80| 8.30| 0.65|21.67|-4.98|071.62661|+15.47205
Cl Melotte 25 64       |Hyades      |  46.6| |e      | 8.80| 8.14| 0.65|21.93|-4.71|066.66717|+16.74690
Cl Melotte 25 18       |Hyades      |  48.5| |e      | 8.80| 8.06| 0.63|22.25|-4.46|063.61356|+12.43532
Cl Melotte 25 97       |Hyades      |  51.4| |e      | 8.80| 7.92| 0.62|22.00|-4.81|068.64712|+15.50462
Cl Melotte 25 2        |Hyades      |  45.0|1|e      | 8.80| 7.78| 0.61|22.18|-4.58|049.38659|+07.69015
Cl Melotte 25 102      |Hyades      |  44.7| |e      | 8.80| 7.54| 0.61|22.19|-4.65|069.38328|+15.14645
Cl Melotte 25 52       |Hyades      |  43.9| |e      | 8.80| 7.80| 0.59|22.01|-4.71|066.11802|+16.88617
Cl Melotte 25 49       |Hyades      |  52.7| |e      | 8.80| 8.24| 0.58|21.98|-4.72|066.05326|+16.37893
Cl Melotte 25 50       |Hyades      |  45.9| |e      | 8.80| 7.61| 0.58|22.74|-4.09|066.05190|+14.75821
Cl Melotte 25 118      |Hyades      |  50.2| |e      | 8.80| 7.74| 0.57|21.82|-5.04|072.38385|+15.88875
Cl Melotte 25 105      |Hyades      |  44.9| |e      | 8.80| 7.53| 0.57|22.15|-4.70|069.71371|+23.14997
Cl Melotte 25 1        |Hyades      |  43.1| |e      | 8.80| 7.40| 0.56|21.53|-5.33|049.35995|+07.65581
Cl Melotte 25 31       |Hyades      |  46.4| |e      | 8.80| 7.46| 0.56|22.09|-4.81|065.05403|+19.23348
Cl Melotte 25 29       |Hyades      |  47.3| |e      | 8.80| 6.89| 0.55|22.32|-4.82|064.97857|+16.52259
Cl Melotte 25 119      |Hyades      |  44.3| |e      | 8.80| 7.11| 0.55|22.20|-4.80|072.59970|+17.20266
Cl Melotte 25 113      |Hyades      |  41.2| |e      | 8.80| 7.26| 0.55|22.30|-4.57|071.68989|+09.01742
Cl Melotte 25 40       |Hyades      |  41.9| |e      | 8.80| 7.00| 0.55|22.37|-4.62|065.68405|+15.05609
Cl Melotte 25 66       |Hyades      |  48.4| |e      | 8.80| 7.51| 0.54|22.30|-4.62|066.94198|+11.73642
Cl Melotte 25 122      |Hyades      |  52.0| |e      | 8.80| 6.77| 0.54|22.63|-4.65|072.80222|+11.06802
Cl Melotte 25 62       |Hyades      |  51.0| |e      | 8.80| 7.38| 0.53|21.81|-5.20|066.57707|+21.47043
Cl Melotte 25 65       |Hyades      |  46.5| |e      | 8.80| 7.42| 0.53|22.06|-4.86|066.89954|+15.58919
Cl Melotte 25 59       |Hyades      |  47.9| |e      | 8.80| 7.49| 0.53|22.39|-4.52|066.52442|+15.52433
Cl Melotte 25 75       |Hyades      |  52.0| |e      | 8.80| 6.59| 0.52|22.17|-5.17|067.24905|+16.15910
Cl Melotte 25 48       |Hyades      |  44.0| |e      | 8.80| 7.14| 0.51|22.28|-4.69|066.06073|+21.73624
Cl Melotte 25 19       |Hyades      |  47.0| |e      | 8.80| 7.12| 0.50|22.29|-4.75|063.64308|+10.70138
Cl Melotte 25 124      |Hyades      |  54.2| |e      | 8.80| 6.29| 0.49|22.41|-5.08|072.95828|+13.65515
Cl Melotte 25 77       |Hyades      |  47.2| |e      | 8.80| 7.03| 0.49|22.38|-4.70|067.33564|+17.54494
Cl Melotte 25 57       |Hyades      |  51.2| |e      | 8.80| 6.46| 0.48|22.60|-4.77|066.40549|+15.94101
Cl Melotte 25 86       |Hyades      |  54.4| |e      | 8.80| 7.04| 0.46|22.21|-4.98|067.73821|+10.75177
Cl Melotte 25 34       |Hyades      |  50.3| |e      | 8.80| 6.17| 0.45|22.39|-5.08|065.21967|+13.86443
Cl Melotte 25 157      |Hyades      |  45.0|1|e      | 8.80| 5.79| 0.43|21.57|-5.96|033.94187|+25.78294
Cl Melotte 25 36       |Hyades      |  49.0| |e      | 8.80| 6.81| 0.43|21.86|-5.33|065.38445|+18.41758
Cl Melotte 25 35       |Hyades      |  51.0| |e      | 8.80| 6.80| 0.43|22.07|-5.16|065.38187|+21.03988
Cl Melotte 25 101      |Hyades      |  53.9| |e      | 8.80| 6.65| 0.43|22.57|-4.77|069.16968|+15.86933
Cl Melotte 25 94       |Hyades      |  51.9| |e      | 8.80| 6.62| 0.42|22.37|-4.95|068.44434|+13.25188
Cl Melotte 25 13       |Hyades      |  47.2| |e      | 8.80| 6.62| 0.41|21.91|-5.32|062.67652|+18.42325
Cl Melotte 25 8        |Hyades      |  43.6| |e      | 8.80| 6.37| 0.41|22.20|-5.06|059.91874|+10.33039
Cl Melotte 25 16       |Hyades      |  60.0| |e      | 8.80| 7.05| 0.41|22.38|-4.89|063.62675|+22.45187
Cl Melotte 25 90       |Hyades      |  43.3| |e      | 8.80| 6.40| 0.40|21.92|-5.32|068.02004|+05.41004
Cl Melotte 25 37       |Hyades      |  49.3| |e      | 8.80| 6.61| 0.40|22.25|-5.02|065.39498|+14.40979
Cl Melotte 25 53       |Hyades      |  49.0| |e      | 8.80| 5.97| 0.36|22.03|-5.49|066.23803|+19.04201
Cl Melotte 25 32       |Hyades      |  47.1| |e      | 8.80| 6.11| 0.36|22.18|-5.25|065.10462|+18.74261
Cl Melotte 25 160      |Hyades      |  45.0|1|e      | 8.80| 5.46| 0.35|22.36|-5.29|060.98584|+08.19727
Cl Melotte 25 6        |Hyades      |  44.3| |e      | 8.80| 5.97| 0.33|21.89|-5.55|058.29186|+17.32708
Cl Melotte 25 38       |Hyades      |  47.6| |e      | 8.80| 5.72| 0.31|21.70|-5.90|065.51466|+14.07720
Cl Melotte 25 68       |Hyades      |  48.3| |e      | 8.80| 5.90| 0.31|21.65|-5.88|067.09751|+14.74098
Cl Melotte 25 103      |Hyades      |  52.1| |e      | 8.80| 5.79| 0.30|21.56|-6.09|069.53934|+16.03329
VXR PSPC 41            |IC2391      | 146.0| |a,b    | 7.70|13.57| 1.25|22.66|-3.21|130.49125|-52.87139
VXR PSPC 38a           |IC2391      | 146.0| |a,b    | 7.70|13.36| 1.23|22.64|-3.32|130.41542|-52.99278
VXR PSPC 76a           |IC2391      | 146.0| |a,b    | 7.70|12.76| 1.04|22.93|-3.11|131.36221|-52.86725
VXR PSPC 35a           |IC2391      | 146.0| |a,b    | 7.70|12.56| 0.99|23.11|-3.00|130.35783|-53.37822
VXR PSPC 62a           |IC2391      | 146.0| |a,b    | 7.70|11.73| 0.85|23.04|-3.30|130.87204|-52.69122
VXR PSPC 12            |IC2391      | 146.0| |a,b    | 7.70|11.86| 0.84|22.63|-3.63|129.97133|-52.96597
VXR PSPC 45a           |IC2391      | 146.0| |a,b    | 7.70|10.70| 0.80|23.10|-3.62|130.56150|-52.93403
VXR PSPC 72            |IC2391      | 146.0| |a,b    | 7.70|11.46| 0.72|23.18|-3.21|131.10900|-52.70899
VXR PSPC 05            |IC2391      | 146.0| |a,b    | 7.70|10.29| 0.68|22.36|-4.47|129.73196|-52.96436
VXR PSPC 11            |IC2391      | 146.0| |a,b    | 7.70| 9.96| 0.64|23.27|-3.68|129.91175|-53.16867
VXR PSPC 70            |IC2391      | 146.0| |a,b    | 7.70|10.85| 0.63|22.84|-3.77|131.02161|-52.88812
VXR PSPC 14            |IC2391      | 146.0| |a,b    | 7.70|10.45| 0.57|23.17|-3.59|130.02596|-53.63525
VXR PSPC 52            |IC2391      | 146.0| |a,b    | 7.70|10.30| 0.56|22.66|-4.16|130.69418|-53.01707
VXR PSPC 77a           |IC2391      | 146.0| |a,b    | 7.70| 9.91| 0.50|23.18|-3.77|131.41301|-52.43321
VXR PSPC 66            |IC2391      | 146.0| |a,b    | 7.70| 9.73| 0.47|22.43|-4.59|130.96792|-53.23327
VXR PSPC 07            |IC2391      | 146.0| |a,b    | 7.70| 9.63| 0.46|23.07|-3.98|129.74921|-53.02393
VXR PSPC 30            |IC2391      | 146.0| |a,b    | 7.70| 9.88| 0.46|22.47|-4.48|130.29158|-52.90292
VXR PSPC 44            |IC2391      | 146.0| |a,b    | 7.70| 9.69| 0.42|23.08|-3.95|130.55129|-53.10110
VXR PSPC 08            |IC2391      | 146.0| |a,b    | 7.70| 8.78| 0.41|23.59|-3.80|129.76418|-52.71105
[RSP95]24              |IC2602      | 161.0| |a,b    | 7.57|14.61| 1.39|22.46|-3.07|158.94708|-64.31278
[RSP95]56              |IC2602      | 161.0| |a,b    | 7.57|13.64| 1.39|22.66|-2.99|160.43850|-64.46767
[RSP95]94              |IC2602      | 161.0| |a,b    | 7.57|13.33| 1.35|22.46|-3.56|162.36000|-64.65000
[RSP95]93              |IC2602      | 161.0| |a,b    | 7.57|13.79| 1.33|22.11|-3.60|162.10579|-64.37889
[RSP95]96              |IC2602      | 161.0| |a,b    | 7.57|12.94| 1.21|22.74|-3.18|162.48687|-63.80531
[RSP95]89              |IC2602      | 161.0| |a,b    | 7.57|12.97| 1.20|22.41|-3.49|161.71587|-63.57103
[RSP95]88              |IC2602      | 161.0| |a,b    | 7.57|12.71| 1.16|22.46|-3.54|161.64717|-64.06239
[RSP95]29              |IC2602      | 161.0| |a,b    | 7.57|12.73| 1.07|22.65|-3.21|159.15821|-64.79831
[RSP95]52              |IC2602      | 161.0| |a,b    | 7.57|12.19| 1.03|22.74|-3.33|160.21404|-64.71331
IC2602 134             |IC2602      | 161.0| |a,b    | 7.57|10.66| 0.91|23.02|-3.69|161.37508|-64.42247
[RSP95]43              |IC2602      | 161.0| |a,b    | 7.57|12.14| 0.91|23.06|-3.01|159.98321|-63.99167
[RSP95]68              |IC2602      | 161.0| |a,b    | 7.57|11.32| 0.91|23.39|-3.03|161.05808|-64.77425
[RSP95]15              |IC2602      | 161.0| |a,b    | 7.57|11.75| 0.89|23.34|-2.96|158.42427|-64.22930
[RSP95]95              |IC2602      | 161.0| |a,b    | 7.57|11.73| 0.83|23.28|-2.90|162.45167|-64.77463
[RSP95]59              |IC2602      | 161.0| |a,b    | 7.57|11.86| 0.82|23.04|-3.13|160.73042|-63.93111
[RSP95]49              |IC2602      | 161.0| |a,b    | 7.57|11.71| 0.75|22.11|-4.09|160.11125|-64.55750
[RSP95]70              |IC2602      | 161.0| |a,b    | 7.57|10.92| 0.65|22.08|-4.44|161.09400|-64.25836
